Time,EPU,Total,Value,Var,Units
1983,MAB,234.309171,234309171,Council Managed,USD
1984,MAB,283.287597,283287597,Council Managed,USD
1985,MAB,298.188426,298188426,Council Managed,USD
1986,MAB,325.823281,325823281,Council Managed,USD
1987,MAB,289.943171,289943171,Council Managed,USD
1988,MAB,269.755839,269755839,Council Managed,USD
1989,MAB,284.422039,284422039,Council Managed,USD
1990,MAB,266.898837,266898837,Council Managed,USD
1991,MAB,319.302239,319302239,Council Managed,USD
1992,MAB,340.789636,340789636,Council Managed,USD
1993,MAB,341.2807767077679,341280776.7077679,Council Managed,USD
1994,MAB,358.92987680987994,358929876.80987996,Council Managed,USD
1995,MAB,331.649361684696,331649361.68469596,Council Managed,USD
1996,MAB,322.93689928907884,322936899.28907883,Council Managed,USD
1997,MAB,313.9179586088025,313917958.6088025,Council Managed,USD
1998,MAB,297.6366040409856,297636604.04098564,Council Managed,USD
1999,MAB,279.09654152095493,279096541.5209549,Council Managed,USD
2000,MAB,262.6453889965565,262645388.9965565,Council Managed,USD
2001,MAB,280.7410646030289,280741064.6030289,Council Managed,USD
2002,MAB,284.43310427461495,284433104.27461493,Council Managed,USD
2003,MAB,293.0564162545465,293056416.25454646,Council Managed,USD
2004,MAB,312.68667368500394,312686673.68500394,Council Managed,USD
2005,MAB,279.55667058481276,279556670.58481276,Council Managed,USD
2006,MAB,289.3340081223429,289334008.1223429,Council Managed,USD
2007,MAB,226.27815971322408,226278159.71322408,Council Managed,USD
2008,MAB,226.64053086157986,226640530.86157987,Council Managed,USD
2009,MAB,213.74600049674183,213746000.49674183,Council Managed,USD
2010,MAB,181.99677568658004,181996775.68658003,Council Managed,USD
2011,MAB,213.06884718454424,213068847.18454424,Council Managed,USD
2012,MAB,212.51773824141128,212517738.24141127,Council Managed,USD
2013,MAB,165.73768853548225,165737688.53548226,Council Managed,USD
2014,MAB,155.82487226972708,155824872.26972708,Council Managed,USD
2015,MAB,159.11783590198255,159117835.90198255,Council Managed,USD
2016,MAB,193.0811074038085,193081107.40380847,Council Managed,USD
2017,MAB,172.51518744404274,172515187.44404274,Council Managed,USD
2018,MAB,189.60184661924902,189601846.61924902,Council Managed,USD
2019,MAB,188.5237334327164,188523733.4327164,Council Managed,USD
2020,MAB,133.874032,133874032,Council Managed,USD
2021,MAB,145.09486,145094860,Council Managed,USD
2022,MAB,142.359343,142359343,Council Managed,USD
1983,MAB,665.137151,665137151,Total,USD
1984,MAB,708.164492,708164492,Total,USD
1985,MAB,653.03672,653036720,Total,USD
1986,MAB,720.65315,720653150,Total,USD
1987,MAB,798.916531,798916531,Total,USD
1988,MAB,685.520231,685520231,Total,USD
1989,MAB,953.5878510000001,953587851.0000001,Total,USD
1990,MAB,914.698793,914698793,Total,USD
1991,MAB,945.0932539999999,945093253.9999999,Total,USD
1992,MAB,874.4075090000001,874407509.0000001,Total,USD
1993,MAB,981.667032707768,981667032.7077681,Total,USD
1994,MAB,1061.908674260543,1061908674.260543,Total,USD
1995,MAB,1003.9700396289493,1003970039.6289493,Total,USD
1996,MAB,969.4944335307248,969494433.5307248,Total,USD
1997,MAB,893.3981595401814,893398159.5401814,Total,USD
1998,MAB,831.5841803571536,831584180.3571537,Total,USD
1999,MAB,895.0440347509384,895044034.7509384,Total,USD
2000,MAB,983.567871685309,983567871.685309,Total,USD
2001,MAB,1165.7867979670236,1165786797.9670236,Total,USD
2002,MAB,1125.351028000253,1125351028.0002532,Total,USD
2003,MAB,1263.1581475562045,1263158147.5562046,Total,USD
2004,MAB,1330.9237003504766,1330923700.3504765,Total,USD
2005,MAB,1163.2180879470739,1163218087.947074,Total,USD
2006,MAB,806.0788225584829,806078822.5584829,Total,USD
2007,MAB,1077.9004638683662,1077900463.8683662,Total,USD
2008,MAB,1170.0995544648938,1170099554.4648938,Total,USD
2009,MAB,1087.0070689867268,1087007068.9867268,Total,USD
2010,MAB,799.3460755001124,799346075.5001124,Total,USD
2011,MAB,1147.561112199415,1147561112.199415,Total,USD
2012,MAB,990.0393866717975,990039386.6717975,Total,USD
2013,MAB,735.9108997639739,735910899.763974,Total,USD
2014,MAB,823.838816169038,823838816.1690379,Total,USD
2015,MAB,953.0832980267661,953083298.0267661,Total,USD
2016,MAB,1058.7209508839474,1058720950.8839474,Total,USD
2017,MAB,878.0623859062202,878062385.9062202,Total,USD
2018,MAB,821.3974707352221,821397470.7352221,Total,USD
2019,MAB,789.9057731128318,789905773.1128317,Total,USD
2020,MAB,684.674709337225,684674709.337225,Total,USD
2021,MAB,527.000263650206,527000263.65020597,Total,USD
2022,MAB,371.25758902021335,371257589.02021337,Total,USD
